Angle	Lenght	name	cut_num	cond	Embryo
89.849	1142.004	Ntf3_Control_Embryo_1	1	ctrl	1
0.252	455.004	Ntf3_Control_Embryo_1	1	ctrl	1
13.360	164.451	Ntf3_Control_Embryo_1	1	ctrl	1
2.776	165.194	Ntf3_Control_Embryo_1	1	ctrl	1
38.999	263.782	Ntf3_Control_Embryo_1	1	ctrl	1
32.818	291.529	Ntf3_Control_Embryo_1	1	ctrl	1
28.646	258.660	Ntf3_Control_Embryo_1	1	ctrl	1
36.001	316.436	Ntf3_Control_Embryo_1	1	ctrl	1
24.350	405.031	Ntf3_Control_Embryo_1	1	ctrl	1
28.567	422.428	Ntf3_Control_Embryo_1	1	ctrl	1
31.659	438.211	Ntf3_Control_Embryo_1	1	ctrl	1
36.460	447.611	Ntf3_Control_Embryo_1	1	ctrl	1
38.532	420.577	Ntf3_Control_Embryo_1	1	ctrl	1
33.147	409.664	Ntf3_Control_Embryo_1	1	ctrl	1
42.963	497.410	Ntf3_Control_Embryo_1	1	ctrl	1
37.640	491.244	Ntf3_Control_Embryo_1	1	ctrl	1
45.915	487.259	Ntf3_Control_Embryo_1	1	ctrl	1
49.227	470.090	Ntf3_Control_Embryo_1	1	ctrl	1
52.238	488.259	Ntf3_Control_Embryo_1	1	ctrl	1
47.266	536.407	Ntf3_Control_Embryo_1	1	ctrl	1
44.313	531.075	Ntf3_Control_Embryo_1	1	ctrl	1
44.498	565.000	Ntf3_Control_Embryo_1	1	ctrl	1
42.019	543.794	Ntf3_Control_Embryo_1	1	ctrl	1
37.113	566.805	Ntf3_Control_Embryo_1	1	ctrl	1
41.499	602.164	Ntf3_Control_Embryo_1	1	ctrl	1
49.101	563.593	Ntf3_Control_Embryo_1	1	ctrl	1
44.607	618.026	Ntf3_Control_Embryo_1	1	ctrl	1
42.021	625.928	Ntf3_Control_Embryo_1	1	ctrl	1
39.898	636.088	Ntf3_Control_Embryo_1	1	ctrl	1
42.089	668.371	Ntf3_Control_Embryo_1	1	ctrl	1
48.544	617.778	Ntf3_Control_Embryo_1	1	ctrl	1
51.225	619.543	Ntf3_Control_Embryo_1	1	ctrl	1
55.231	589.196	Ntf3_Control_Embryo_1	1	ctrl	1
57.713	645.865	Ntf3_Control_Embryo_1	1	ctrl	1
58.846	670.735	Ntf3_Control_Embryo_1	1	ctrl	1
57.103	660.989	Ntf3_Control_Embryo_1	1	ctrl	1
55.001	667.756	Ntf3_Control_Embryo_1	1	ctrl	1
56.287	697.258	Ntf3_Control_Embryo_1	1	ctrl	1
51.934	708.755	Ntf3_Control_Embryo_1	1	ctrl	1
51.891	730.771	Ntf3_Control_Embryo_1	1	ctrl	1
55.052	745.419	Ntf3_Control_Embryo_1	1	ctrl	1
48.111	690.447	Ntf3_Control_Embryo_1	1	ctrl	1
48.531	723.329	Ntf3_Control_Embryo_1	1	ctrl	1
