Angle	Lenght	name	cut_num	cond	Embryo
89.352	972.062	Ntf3_Control_Embryo_1	7	ctrl	1
-0.253	453.004	Ntf3_Control_Embryo_1	7	ctrl	1
68.138	174.554	Ntf3_Control_Embryo_1	7	ctrl	1
55.823	195.816	Ntf3_Control_Embryo_1	7	ctrl	1
57.171	221.350	Ntf3_Control_Embryo_1	7	ctrl	1
64.127	222.281	Ntf3_Control_Embryo_1	7	ctrl	1
66.949	255.392	Ntf3_Control_Embryo_1	7	ctrl	1
58.805	254.849	Ntf3_Control_Embryo_1	7	ctrl	1
64.387	296.096	Ntf3_Control_Embryo_1	7	ctrl	1
63.355	321.100	Ntf3_Control_Embryo_1	7	ctrl	1
51.593	283.302	Ntf3_Control_Embryo_1	7	ctrl	1
50.361	264.909	Ntf3_Control_Embryo_1	7	ctrl	1
46.816	245.489	Ntf3_Control_Embryo_1	7	ctrl	1
41.411	192.003	Ntf3_Control_Embryo_1	7	ctrl	1
38.491	212.085	Ntf3_Control_Embryo_1	7	ctrl	1
34.346	218.011	Ntf3_Control_Embryo_1	7	ctrl	1
26.208	215.114	Ntf3_Control_Embryo_1	7	ctrl	1
18.355	225.471	Ntf3_Control_Embryo_1	7	ctrl	1
25.607	240.635	Ntf3_Control_Embryo_1	7	ctrl	1
42.845	263.230	Ntf3_Control_Embryo_1	7	ctrl	1
50.664	343.919	Ntf3_Control_Embryo_1	7	ctrl	1
40.717	321.925	Ntf3_Control_Embryo_1	7	ctrl	1
45.511	396.703	Ntf3_Control_Embryo_1	7	ctrl	1
32.765	343.682	Ntf3_Control_Embryo_1	7	ctrl	1
35.218	374.556	Ntf3_Control_Embryo_1	7	ctrl	1
33.690	385.794	Ntf3_Control_Embryo_1	7	ctrl	1
28.301	354.356	Ntf3_Control_Embryo_1	7	ctrl	1
23.279	374.486	Ntf3_Control_Embryo_1	7	ctrl	1
26.825	394.446	Ntf3_Control_Embryo_1	7	ctrl	1
29.445	427.181	Ntf3_Control_Embryo_1	7	ctrl	1
34.494	414.957	Ntf3_Control_Embryo_1	7	ctrl	1
32.276	449.444	Ntf3_Control_Embryo_1	7	ctrl	1
39.681	472.969	Ntf3_Control_Embryo_1	7	ctrl	1
42.524	523.748	Ntf3_Control_Embryo_1	7	ctrl	1
41.549	563.879	Ntf3_Control_Embryo_1	7	ctrl	1
37.338	514.417	Ntf3_Control_Embryo_1	7	ctrl	1
89.583	961.025	Ntf3_CdM_Embryo_1	7	CdM	1
0.760	528.046	Ntf3_CdM_Embryo_1	7	CdM	1
2.175	79.057	Ntf3_CdM_Embryo_1	7	CdM	1
19.737	139.176	Ntf3_CdM_Embryo_1	7	CdM	1
39.452	124.326	Ntf3_CdM_Embryo_1	7	CdM	1
39.232	140.720	Ntf3_CdM_Embryo_1	7	CdM	1
46.736	163.417	Ntf3_CdM_Embryo_1	7	CdM	1
44.663	240.420	Ntf3_CdM_Embryo_1	7	CdM	1
44.853	276.480	Ntf3_CdM_Embryo_1	7	CdM	1
50.765	295.652	Ntf3_CdM_Embryo_1	7	CdM	1
52.570	327.416	Ntf3_CdM_Embryo_1	7	CdM	1
48.131	323.631	Ntf3_CdM_Embryo_1	7	CdM	1
42.337	304.385	Ntf3_CdM_Embryo_1	7	CdM	1
41.169	328.123	Ntf3_CdM_Embryo_1	7	CdM	1
34.854	341.211	Ntf3_CdM_Embryo_1	7	CdM	1
29.517	373.472	Ntf3_CdM_Embryo_1	7	CdM	1
30.340	393.956	Ntf3_CdM_Embryo_1	7	CdM	1
31.563	426.026	Ntf3_CdM_Embryo_1	7	CdM	1
24.471	354.877	Ntf3_CdM_Embryo_1	7	CdM	1
3.428	217.389	Ntf3_CdM_Embryo_1	7	CdM	1
-9.358	270.601	Ntf3_CdM_Embryo_1	7	CdM	1
-1.597	287.111	Ntf3_CdM_Embryo_1	7	CdM	1
-1.380	332.096	Ntf3_CdM_Embryo_1	7	CdM	1
12.983	369.444	Ntf3_CdM_Embryo_1	7	CdM	1
15.331	397.132	Ntf3_CdM_Embryo_1	7	CdM	1
11.023	392.237	Ntf3_CdM_Embryo_1	7	CdM	1
23.358	423.728	Ntf3_CdM_Embryo_1	7	CdM	1
22.815	451.310	Ntf3_CdM_Embryo_1	7	CdM	1
25.115	459.436	Ntf3_CdM_Embryo_1	7	CdM	1
27.053	472.722	Ntf3_CdM_Embryo_1	7	CdM	1
28.396	489.949	Ntf3_CdM_Embryo_1	7	CdM	1
31.608	488.459	Ntf3_CdM_Embryo_1	7	CdM	1
