Angle	Lenght	name	cut_num	cond	Embryo
90.000	1014.000	Ntf3_Control_Embryo_1	4	ctrl	1
0.670	599.041	Ntf3_Control_Embryo_1	4	ctrl	1
66.753	154.548	Ntf3_Control_Embryo_1	4	ctrl	1
64.075	160.112	Ntf3_Control_Embryo_1	4	ctrl	1
58.266	178.718	Ntf3_Control_Embryo_1	4	ctrl	1
55.008	146.479	Ntf3_Control_Embryo_1	4	ctrl	1
60.429	204.658	Ntf3_Control_Embryo_1	4	ctrl	1
51.672	188.661	Ntf3_Control_Embryo_1	4	ctrl	1
43.055	187.491	Ntf3_Control_Embryo_1	4	ctrl	1
49.879	232.775	Ntf3_Control_Embryo_1	4	ctrl	1
44.817	221.326	Ntf3_Control_Embryo_1	4	ctrl	1
49.108	256.632	Ntf3_Control_Embryo_1	4	ctrl	1
40.139	241.994	Ntf3_Control_Embryo_1	4	ctrl	1
32.574	213.600	Ntf3_Control_Embryo_1	4	ctrl	1
41.634	264.915	Ntf3_Control_Embryo_1	4	ctrl	1
36.870	285.000	Ntf3_Control_Embryo_1	4	ctrl	1
41.326	308.934	Ntf3_Control_Embryo_1	4	ctrl	1
42.816	333.997	Ntf3_Control_Embryo_1	4	ctrl	1
37.054	312.002	Ntf3_Control_Embryo_1	4	ctrl	1
27.560	309.071	Ntf3_Control_Embryo_1	4	ctrl	1
24.752	353.476	Ntf3_Control_Embryo_1	4	ctrl	1
16.232	329.120	Ntf3_Control_Embryo_1	4	ctrl	1
20.165	377.115	Ntf3_Control_Embryo_1	4	ctrl	1
16.867	392.902	Ntf3_Control_Embryo_1	4	ctrl	1
23.074	484.784	Ntf3_Control_Embryo_1	4	ctrl	1
22.443	497.695	Ntf3_Control_Embryo_1	4	ctrl	1
24.490	518.661	Ntf3_Control_Embryo_1	4	ctrl	1
19.803	516.547	Ntf3_Control_Embryo_1	4	ctrl	1
30.343	427.571	Ntf3_Control_Embryo_1	4	ctrl	1
39.665	418.298	Ntf3_Control_Embryo_1	4	ctrl	1
44.894	383.960	Ntf3_Control_Embryo_1	4	ctrl	1
45.867	420.777	Ntf3_Control_Embryo_1	4	ctrl	1
52.423	421.432	Ntf3_Control_Embryo_1	4	ctrl	1
35.010	529.879	Ntf3_Control_Embryo_1	4	ctrl	1
38.241	534.753	Ntf3_Control_Embryo_1	4	ctrl	1
37.033	561.202	Ntf3_Control_Embryo_1	4	ctrl	1
40.319	571.836	Ntf3_Control_Embryo_1	4	ctrl	1
38.222	593.165	Ntf3_Control_Embryo_1	4	ctrl	1
39.121	621.279	Ntf3_Control_Embryo_1	4	ctrl	1
36.353	620.825	Ntf3_Control_Embryo_1	4	ctrl	1
41.499	636.878	Ntf3_Control_Embryo_1	4	ctrl	1
89.403	960.052	Ntf3_CdM_Embryo_1	4	CdM	1
2.192	627.459	Ntf3_CdM_Embryo_1	4	CdM	1
41.987	94.175	Ntf3_CdM_Embryo_1	4	CdM	1
28.610	125.300	Ntf3_CdM_Embryo_1	4	CdM	1
14.842	206.903	Ntf3_CdM_Embryo_1	4	CdM	1
12.006	225.942	Ntf3_CdM_Embryo_1	4	CdM	1
4.173	233.619	Ntf3_CdM_Embryo_1	4	CdM	1
5.156	267.081	Ntf3_CdM_Embryo_1	4	CdM	1
21.433	259.979	Ntf3_CdM_Embryo_1	4	CdM	1
33.690	245.177	Ntf3_CdM_Embryo_1	4	CdM	1
41.424	272.059	Ntf3_CdM_Embryo_1	4	CdM	1
34.787	275.182	Ntf3_CdM_Embryo_1	4	CdM	1
42.487	306.472	Ntf3_CdM_Embryo_1	4	CdM	1
33.443	321.174	Ntf3_CdM_Embryo_1	4	CdM	1
19.616	306.806	Ntf3_CdM_Embryo_1	4	CdM	1
27.501	383.313	Ntf3_CdM_Embryo_1	4	CdM	1
16.003	409.884	Ntf3_CdM_Embryo_1	4	CdM	1
37.433	488.624	Ntf3_CdM_Embryo_1	4	CdM	1
34.088	519.212	Ntf3_CdM_Embryo_1	4	CdM	1
28.079	490.765	Ntf3_CdM_Embryo_1	4	CdM	1
19.060	493.028	Ntf3_CdM_Embryo_1	4	CdM	1
25.134	501.483	Ntf3_CdM_Embryo_1	4	CdM	1
26.614	520.110	Ntf3_CdM_Embryo_1	4	CdM	1
27.110	563.962	Ntf3_CdM_Embryo_1	4	CdM	1
34.313	587.185	Ntf3_CdM_Embryo_1	4	CdM	1
18.741	532.219	Ntf3_CdM_Embryo_1	4	CdM	1
27.538	605.615	Ntf3_CdM_Embryo_1	4	CdM	1
27.094	678.452	Ntf3_CdM_Embryo_1	4	CdM	1
20.807	641.860	Ntf3_CdM_Embryo_1	4	CdM	1
15.591	599.041	Ntf3_CdM_Embryo_1	4	CdM	1
89.663	1021.018	Ntf3_Control_Embryo_1	5	ctrl	1
-1.459	471.153	Ntf3_Control_Embryo_1	5	ctrl	1
49.545	169.532	Ntf3_Control_Embryo_1	5	ctrl	1
49.825	218.563	Ntf3_Control_Embryo_1	5	ctrl	1
